,length,condition,lat,lon,intersection,model_type,id,road
746,44.63,A,21.5470666065573,92.0668953754098,,bridge,10746,N1
747,2315.0000000000546,NaN,21.53629817304605,92.0661102999142,,link,10747,N1
748,14.0,A,21.5255297395348,92.0653252244186,,bridge,10748,N1
749,205.99999999996044,NaN,21.52463148372085,92.06544999215114,,link,10749,N1
750,8.0,A,21.5237332279069,92.0655747598837,,bridge,10750,N1
751,338.99999999999864,NaN,21.5222520843238,92.0658594114233,,link,10751,N1
752,15.4,A,21.5207709407407,92.0661440629629,,bridge,10752,N1
753,153.00000000002,NaN,21.5201398749649,92.06640934661655,,link,10753,N1
754,5.0,A,21.5195088091891,92.0666746302702,,bridge,10754,N1
755,707.99999999997,NaN,21.516625391151152,92.0680077604181,,link,10755,N1
756,3.0,A,21.5137419731132,92.069340890566,,bridge,10756,N1
757,417.00000000003,NaN,21.512090835384697,92.07010077301734,,link,10757,N1
758,2.5,A,21.5104396976562,92.0708606554687,,bridge,10758,N1
759,522.9999999999677,NaN,21.508473312560447,92.07208164868506,,link,10759,N1
760,7.5,A,21.5065069274647,92.0733026419014,,bridge,10760,N1
761,198.00000000003593,NaN,21.5058194352112,92.07387394859151,,link,10761,N1
762,12.4,A,21.5051319429577,92.0744452552816,,bridge,10762,N1
763,1166.9999999999732,NaN,21.5004427176114,92.07606192045844,,link,10763,N1
764,14.0,A,21.4957534922651,92.0776785856353,,bridge,10764,N1
765,128.00000000004275,NaN,21.49531150331485,92.07800664044194,,link,10765,N1
766,14.1,A,21.4948695143646,92.0783346952486,,bridge,10766,N1
767,2795.9999999999923,NaN,21.48654129140015,92.08652493659075,,link,10767,N1
768,7.2,A,21.4782130684357,92.0947151779329,,bridge,10768,N1
769,382.000000000005,NaN,21.47686475901785,92.0957509145664,,link,10769,N1
770,14.0,A,21.4755164496,92.0967866511999,,bridge,10770,N1
771,237.99999999999955,NaN,21.4746805411793,92.09739961870335,,link,10771,N1
772,3.0,A,21.4738446327586,92.0980125862068,,bridge,10772,N1
773,528.9999999999964,NaN,21.4719500815478,92.09932640471385,,link,10773,N1
774,57.6,A,21.470055530337,92.1006402232209,,bridge,10774,N1
775,573.9999999999554,NaN,21.46779853056355,92.1016484557521,,link,10775,N1
776,14.0,B,21.4655415307901,92.1026566882833,,bridge,10776,N1
777,2096.0000000000036,NaN,21.4580492329626,92.10106241576325,,link,10777,N1
778,9.2,A,21.4505569351351,92.0994681432432,,bridge,10778,N1
779,841.0000000000082,NaN,21.44697174881755,92.1003680109073,,link,10779,N1
780,1.5,A,21.4433865625,92.1012678785714,,bridge,10780,N1
781,208.00000000002683,NaN,21.44261276696425,92.1009881178571,,link,10781,N1
782,58.6,A,21.4418389714285,92.1007083571428,,bridge,10782,N1
783,581.9999999999936,NaN,21.439519963330497,92.09953781476325,,link,10783,N1
784,3.0,A,21.4372009552325,92.0983672723837,,bridge,10784,N1
785,351.99999999997544,NaN,21.435704708824296,92.09781398954755,,link,10785,N1
786,2.5,A,21.4342084624161,92.0972607067114,,bridge,10786,N1
787,410.000000000025,NaN,21.43250861090235,92.09668949942555,,link,10787,N1
788,7.2,A,21.4308087593886,92.0961182921397,,bridge,10788,N1
789,231.9999999999709,NaN,21.429824395517052,92.0957548391078,,link,10789,N1
790,3.5,A,21.4288400316455,92.0953913860759,,bridge,10790,N1
791,51.000000000044565,NaN,21.42866966582275,92.09529274303796,N109,link,10791,N1
792,4.0,,21.4284993,92.0951941,N109,intersection,10792,N1
793,122.99999999999045,NaN,21.428425448591547,92.09463276338025,,link,10793,N1
794,12.8,A,21.4283515971831,92.0940714267605,,bridge,10794,N1
795,483.0000000000041,NaN,21.42812379059155,92.09176112138024,,link,10795,N1
796,18.8,A,21.427895984,92.089450816,,bridge,10796,N1
797,573.9999999999554,NaN,21.42750118040575,92.08673831959419,,link,10797,N1
798,8.2,A,21.4271063768115,92.0840258231884,,bridge,10798,N1
799,380.0000000000523,NaN,21.42694054504635,92.08223427995355,,link,10799,N1
800,7.4,A,21.4267747132812,92.0804427367187,,bridge,10800,N1
801,380.9999999999718,NaN,21.426623156640602,92.07860991835935,,link,10801,N1
802,12.4,A,21.4264716,92.0767771,,bridge,10802,N1
803,646.000000000015,NaN,21.4269185249042,92.07383529042144,,link,10803,N1
804,9.4,A,21.4273654498084,92.0708934808429,,bridge,10804,N1
805,868.9999999999714,NaN,21.42727072375915,92.0671683350779,,link,10805,N1
806,2.0,A,21.4271759977099,92.0634431893129,,bridge,10806,N1
807,258.0000000000382,NaN,21.42724246672565,92.0622544281165,,link,10807,N1
808,6.8,A,21.4273089357414,92.0610656669201,,bridge,10808,N1
809,329.9999999999841,NaN,21.42757219398345,92.05951652648676,,link,10809,N1
810,16.6,A,21.4278354522255,92.0579673860534,,bridge,10810,N1
811,233.99999999998045,NaN,21.4279325685497,92.0568622110939,,link,10811,N1
812,18.6,A,21.4280296848739,92.0557570361344,,bridge,10812,N1
813,266.9999999999959,NaN,21.4280440898507,92.05449260384304,,link,10813,N1
814,7.2,A,21.4280584948275,92.0532281715517,,bridge,10814,N1
815,472.00000000003683,NaN,21.42779149741375,92.05093819441515,,link,10815,N1
816,13.0,A,21.4275245,92.0486482172786,,bridge,10816,N1
817,512.0000000000005,NaN,21.4284848551282,92.04651446825466,,link,10817,N1
818,10.9,A,21.4294452102564,92.0443807192307,,bridge,10818,N1
819,500.0,NaN,21.429616805128198,92.04198764441534,,link,10819,N1
820,9.2,A,21.4297884,92.0395945696,,bridge,10820,N1
821,841.9999999999845,NaN,21.4295958814917,92.0357416593856,,link,10821,N1
822,148.5,A,21.4294033629834,92.0318887491712,,bridge,10822,N1
823,269.00000000000546,NaN,21.429864573221,92.0307547238337,,link,10823,N1
824,3.5,A,21.4303257834586,92.0296206984962,,bridge,10824,N1
825,144.00000000000546,NaN,21.430239852598852,92.02898209707415,,link,10825,N1
826,10.3,A,21.4301539217391,92.0283434956521,,bridge,10826,N1
827,615.0000000000091,NaN,21.42832627139155,92.02611345165965,,link,10827,N1
828,9.0,A,21.426498621044,92.0238834076672,,bridge,10828,N1
829,106.9999999999709,NaN,21.426179510522,92.0235247038336,N110,link,10829,N1
830,4.0,,21.4258604,92.023166,N110,intersection,10830,N1
831,504.0000000000191,NaN,21.424461730756,92.02497697946735,,link,10831,N1
832,4.5,C,21.423063061512,92.0267879589347,,bridge,10832,N1
833,69.99999999999318,NaN,21.4228676147766,92.02704020549825,,link,10833,N1
834,11.3,C,21.4226721680412,92.0272924520618,,bridge,10834,N1
835,593.9999999999941,NaN,21.4210369757499,92.0294876790384,,link,10835,N1
836,2.4,C,21.4194017834586,92.031682906015,,bridge,10836,N1
837,449.0000000000123,NaN,21.4182125131101,92.0332044895331,,link,10837,N1
838,7.2,B,21.4170232427616,92.0347260730512,,bridge,10838,N1
839,170.99999999999227,NaN,21.4165700029742,92.03533089119591,,link,10839,N1
840,8.1,C,21.4161167631868,92.0359357093406,,bridge,10840,N1
841,362.99999999999955,NaN,21.415188347338052,92.037304697649,,link,10841,N1
842,10.9,A,21.4142599314893,92.0386736859574,,bridge,10842,N1
843,368.99999999997135,NaN,21.413378387270498,92.03910026886425,,link,10843,N1
844,8.3,A,21.4124968430517,92.0395268517711,,bridge,10844,N1
845,357.00000000002774,NaN,21.4117498877835,92.04193240379965,,link,10845,N1
846,8.3,B,21.4110029325153,92.0443379558282,,bridge,10846,N1
847,430.0000000000068,NaN,21.4106258946527,92.0461873186548,,link,10847,N1
848,2.2,B,21.4102488567901,92.0480366814814,,bridge,10848,N1
849,189.99999999999773,NaN,21.4102735213181,92.04884945274065,,link,10849,N1
850,8.2,A,21.4102981858461,92.0496622239999,,bridge,10850,N1
851,259.00000000001455,NaN,21.4101109348644,92.0507753337948,,link,10851,N1
852,1.9,A,21.4099236838827,92.0518884435897,,bridge,10852,N1
853,376.9999999999527,NaN,21.40938180003655,92.05345612655675,,link,10853,N1
854,3.0,A,21.4088399161904,92.0550238095238,,bridge,10854,N1
855,165.99999999999682,NaN,21.40839866164545,92.0555181509157,,link,10855,N1
856,2.8,A,21.4079574071005,92.0560124923076,,bridge,10856,N1
857,290.00000000002046,NaN,21.40715906071745,92.05702963540296,,link,10857,N1
858,10.0,D,21.4063607143344,92.0580467784983,,bridge,10858,N1
859,424.000000000035,NaN,21.40525531574925,92.0599427411148,,link,10859,N1
860,1.6,A,21.4041499171641,92.0618387037313,,bridge,10860,N1
861,473.99999999998954,NaN,21.403079646004052,92.0632896644436,,link,10861,N1
862,3.6,A,21.402009374844,92.0647406251559,,bridge,10862,N1
863,262.00000000000045,NaN,21.40109863704175,92.0654117713232,,link,10863,N1
864,8.0,C,21.4001878992395,92.0660829174905,,bridge,10864,N1
865,168.00000000000637,NaN,21.39948689847905,92.06630473498095,,link,10865,N1
866,1.3,C,21.3987858977186,92.0665265524714,,bridge,10866,N1
867,444.9999999999932,NaN,21.3969001602386,92.06705748313226,,link,10867,N1
868,8.3,A,21.3950144227586,92.0675884137931,,bridge,10868,N1
869,484.9999999999568,NaN,21.3929349667512,92.06803205730975,,link,10869,N1
870,22.0,C,21.3908555107438,92.0684757008264,,bridge,10870,N1
871,237.0000000000232,NaN,21.3898303553719,92.0687190004132,,link,10871,N1
872,2.7,C,21.3888052,92.0689623,,bridge,10872,N1
873,168.00000000000637,NaN,21.38812952297295,92.06933929459456,,link,10873,N1
874,2.7,B,21.3874538459459,92.0697162891891,,bridge,10874,N1
875,153.00000000002,NaN,21.38683622467745,92.0700023891968,,link,10875,N1
876,2.9,C,21.386218603409,92.0702884892045,,bridge,10876,N1
877,69.99999999999318,NaN,21.38592986837115,92.07037140440616,,link,10877,N1
878,1.8,C,21.3856411333333,92.0704543196078,,bridge,10878,N1
879,144.9999999999818,NaN,21.3850237975877,92.0704883321723,,link,10879,N1
880,2.8,B,21.3844064618421,92.0705223447368,,bridge,10880,N1
881,156.99999999998226,NaN,21.383755772368403,92.0707016302631,,link,10881,N1
882,1.8,B,21.3831050828947,92.0708809157894,,bridge,10882,N1
883,24.00000000000091,NaN,21.38300637499995,92.07091599999995,,link,10883,N1
884,1.7,A,21.3829076671052,92.0709510842105,,bridge,10884,N1
885,256.00000000002865,NaN,21.3818749553403,92.07097467534545,,link,10885,N1
886,0.8,A,21.3808422435754,92.0709982664804,,bridge,10886,N1
887,146.000000000015,NaN,21.380230511731803,92.07080565251391,,link,10887,N1
888,1.5,B,21.3796187798882,92.0706130385474,,bridge,10888,N1
889,39.99999999996362,NaN,21.3794657899441,92.0705522121308,,link,10889,N1
890,1.5,A,21.3793128,92.0704913857142,,bridge,10890,N1
891,175.00000000001137,NaN,21.378581945779203,92.07042310487006,,link,10891,N1
892,2.2,C,21.3778510915584,92.0703548240259,,bridge,10892,N1
893,148.00000000002456,NaN,21.3773696600649,92.07073857629865,,link,10893,N1
894,1.5,A,21.3768882285714,92.0711223285714,,bridge,10894,N1
895,94.99999999997044,NaN,21.37658375879115,92.07143407994499,,link,10895,N1
896,3.0,A,21.3762792890109,92.0717458313186,,bridge,10896,N1
897,213.99999999999864,NaN,21.3756821727663,92.07238706565926,,link,10897,N1
898,2.4,C,21.3750850565217,92.0730282999999,,bridge,10898,N1
899,149.99999999997726,NaN,21.374811145890902,92.07354490664736,,link,10899,N1
900,1.3,A,21.3745372352601,92.0740615132948,,bridge,10900,N1
901,89.00000000005548,NaN,21.3744586271676,92.0744616274566,,link,10901,N1
902,1.3,A,21.3743800190751,92.0748617416184,,bridge,10902,N1
903,218.9999999999941,NaN,21.3740878889679,92.0757427015054,,link,10903,N1
904,1.3,C,21.3737957588607,92.0766236613924,,bridge,10904,N1
905,216.99999999998454,NaN,21.3731063023561,92.07725837938615,,link,10905,N1
906,1.3,C,21.3724168458515,92.0778930973799,,bridge,10906,N1
907,223.99999999998954,NaN,21.3715535583626,92.0784801880103,,link,10907,N1
908,1.3,A,21.3706902708737,92.0790672786407,,bridge,10908,N1
909,117.999999999995,NaN,21.37021695490245,92.0793553805417,,link,10909,N1
910,1.3,A,21.3697436389312,92.0796434824427,,bridge,10910,N1
911,148.00000000002456,NaN,21.36919442900755,92.07984749083965,,link,10911,N1
912,1.3,A,21.3686452190839,92.0800514992366,,bridge,10912,N1
913,142.99999999997226,NaN,21.36812223043745,92.08026008618546,,link,10913,N1
914,1.3,B,21.367599241791,92.0804686731343,,bridge,10914,N1
915,333.00000000002683,NaN,21.3662630189087,92.08091520047441,,link,10915,N1
916,7.1,C,21.3649267960264,92.0813617278145,,bridge,10916,N1
917,96.00000000000364,NaN,21.364513510623148,92.0813466665465,,link,10917,N1
918,1.3,B,21.3641002252199,92.0813316052785,,bridge,10918,N1
919,329.00000000000773,NaN,21.36270032581085,92.080937849485,,link,10919,N1
920,1.6,B,21.3613004264018,92.0805440936915,,bridge,10920,N1
921,103.999999999985,NaN,21.360885313317702,92.08034835257004,,link,10921,N1
922,2.5,A,21.3604702002336,92.0801526114486,,bridge,10922,N1
923,93.00000000001774,NaN,21.360098993341047,92.07997757371496,,link,10923,N1
924,1.3,A,21.3597277864485,92.0798025359813,,bridge,10924,N1
925,122.99999999999045,NaN,21.3592368353971,92.0795710344626,,link,10925,N1
926,2.2,C,21.3587458843457,92.0793395329439,,bridge,10926,N1
927,295.99999999999227,NaN,21.35750059337285,92.07921111647195,,link,10927,N1
928,4.0,A,21.3562553024,92.0790827,,bridge,10928,N1
929,725.9999999999991,NaN,21.3531402488019,92.07875849676256,,link,10929,N1
930,21.5,A,21.3500251952038,92.0784342935251,,bridge,10930,N1
931,543.0000000000064,NaN,21.34767870348975,92.0787023165756,,link,10931,N1
932,11.3,C,21.3453322117757,92.0789703396261,,bridge,10932,N1
933,373.9999999999668,NaN,21.343710764485948,92.0789121074766,,link,10933,N1
934,14.1,A,21.3420893171962,92.0788538753271,,bridge,10934,N1
935,646.9999999999914,NaN,21.33932296430585,92.07890878819626,,link,10935,N1
936,2.3,B,21.3365566114155,92.0789637010654,,bridge,10936,N1
937,312.0000000000118,NaN,21.3351978442922,92.07900328280056,,link,10937,N1
938,24.1,C,21.3338390771689,92.0790428645357,,bridge,10938,N1
939,956.0000000000173,NaN,21.33037839045415,92.08050686905915,,link,10939,N1
940,45.6,C,21.3269177037394,92.0819708735826,,bridge,10940,N1
941,548.0000000000018,NaN,21.32535231481085,92.0838569259089,,link,10941,N1
942,5.0,C,21.3237869258823,92.0857429782352,,bridge,10942,N1
943,447.00000000000273,NaN,21.3224478541176,92.08731330676466,,link,10943,N1
944,11.2,D,21.3211087823529,92.0888836352941,,bridge,10944,N1
945,87.99999999996544,NaN,21.320845955123,92.0891901992494,,link,10945,N1
946,1.3,B,21.3205831278931,92.0894967632047,,bridge,10946,N1
947,727.0000000000323,NaN,21.3183963970461,92.0917280182082,,link,10947,N1
948,49.3,C,21.3162096661991,92.0939592732117,,bridge,10948,N1
949,1045.9999999999923,NaN,21.31221825481005,92.0956120523953,,link,10949,N1
950,2.4,B,21.308226843421,92.0972648315789,,bridge,10950,N1
951,574.9999999999886,NaN,21.30587168116995,92.0970567887624,,link,10951,N1
952,2.3,C,21.3035165189189,92.0968487459459,,bridge,10952,N1
953,432.9999999999927,NaN,21.3016309404504,92.0971630025225,,link,10953,N1
954,61.3,D,21.2997453619819,92.0974772590991,,bridge,10954,N1
955,1292.00000000003,NaN,21.29426008099095,92.09871611398935,,link,10955,N1
956,14.1,A,21.2887748,92.0999549688796,,bridge,10956,N1
957,137.9999999999768,NaN,21.288162425,92.10000868008295,,link,10957,N1
958,11.0,B,21.28755005,92.1000623912863,,bridge,10958,N1
959,432.9999999999927,NaN,21.2856441407718,92.1003085130928,,link,10959,N1
960,10.3,A,21.2837382315436,92.1005546348993,,bridge,10960,N1
961,1172.0000000000255,NaN,21.2788720112035,92.10248848993959,,link,10961,N1
962,14.0,A,21.2740057908634,92.1044223449799,,bridge,10962,N1
963,14.000000000010004,NaN,21.27394898052205,92.10445045742969,,link,10963,N1
